v_bin,n_records,power_mean,power_std,power_p10,power_p90,v_mean,Cp,turbine_id
5.75,2758,228.63425598840084,40.05001939626883,178.90179297129313,282.67150390625005,5.4974673682239175,0.37180402546558444,T04
6.25,2829,317.0879968999614,49.40062944421998,252.92206017917857,380.7632588704428,5.998030892062444,0.40152821790472143,T04
6.75,2655,424.94574634698307,58.823069898531756,356.1115137736004,496.7617055011617,6.502878787513279,0.4271677809758405,T04
7.25,2602,541.7540452317871,69.07095563271946,462.54720743815113,623.7504815252894,6.992329102108941,0.4395056515248989,T04
7.75,2362,670.7197460440352,86.5292415776468,581.5641046578544,766.6563160196943,7.49024311247857,0.4454636851592839,T04
8.25,1137,783.9899843091591,98.52411809468208,697.1485680100013,883.3755825700433,7.893969609238016,0.43164328560747356,T04
8.75,226,978.1755877653397,82.21983588500294,879.8965356234851,1096.4178395589206,8.525105828563058,0.45140771958820197,T04
9.25,473,1140.6742364148129,89.1659098290326,1027.9749735514329,1255.6391422526053,9.018495099073576,0.445566730114611,T04
9.75,722,1290.6504387823613,92.64926322718581,1168.2082587348102,1399.1619447835294,9.505707304555393,0.43049796923482364,T04
10.25,954,1445.571717452473,93.23125103014539,1315.2858127848317,1565.9566893853128,10.005876908631922,0.4149964363267371,T04
10.75,1036,1573.545723134762,94.76076254079966,1449.127683673728,1689.767940266926,10.493039932130724,0.39158882985181853,T04
11.25,1082,1703.96941609407,97.43293859160421,1577.1755771891292,1833.0512784830742,11.000837863128174,0.3699819602042108,T04
11.75,954,1804.601133665521,101.94546654169623,1668.9654388427755,1933.319648030601,11.498969483444569,0.3439093211333689,T04
12.25,922,1884.572684471477,92.31228152314922,1761.1158898925792,2001.0670714069247,11.997357474626334,0.3169428411827075,T04
12.75,835,1936.8714856910706,82.80924682363013,1829.3278352864593,2032.0009993489623,12.495649735467632,0.2888993549165517,T04
13.25,811,1970.8953428375603,62.186157406064815,1884.665087890627,2041.7814575195337,13.009698806503245,0.26193422567621183,T04
13.75,689,1989.2394219216778,56.32224187296577,1914.1343965076287,2046.600312500002,13.483567163903182,0.2365676107330356,T04
14.25,614,2003.859489040372,45.67839310017894,1940.574519449874,2047.9738243787046,13.98973914403598,0.2140912871695023,T04
14.75,516,2013.7068247003526,37.31219503436721,1962.5250406901055,2049.749247233075,14.489591463441768,0.19399766461526927,T04
15.25,504,2015.8162852792486,37.95497111299363,1967.050046386718,2050.2752278645858,14.991021521589737,0.17571860192571837,T04
15.75,409,2025.8868914396012,27.394155724786465,1991.4073331705752,2050.1224877929703,15.495903318971113,0.1603060233182813,T04
16.25,324,2028.8290898303662,26.0036697454282,2001.0167830403664,2051.278101399745,15.993201722584198,0.1461711582005345,T04
16.75,335,2034.3722087217482,16.676627863079567,2011.808463541666,2050.842589653864,16.503175931659023,0.13383271891617204,T04
17.25,245,2035.5790208876313,16.645038635858135,2013.0853759765637,2052.5921215820335,17.00260635441491,0.12260184022625045,T04
17.75,234,2037.097491691476,16.319505765891734,2016.0823482259102,2053.400642089846,17.49453597249291,0.11261417580325202,T04
18.25,199,2037.0750505605554,15.911927215017181,2018.385937500002,2052.1731315104184,17.988019987209768,0.1036083468266157,T04
18.75,162,2038.8788233753125,14.689763271269728,2018.1707515462247,2053.3652144368502,18.4909969430491,0.09562334237829735,T04
19.25,156,2043.1278622353,11.887487221229684,2026.7466512044293,2056.1265625000015,19.00039930116705,0.0885481853835709,T04
19.75,139,2044.2370616885923,14.86987646431967,2026.723850097662,2059.6568798828157,19.491159055808062,0.08203634043491767,T04
20.25,141,2044.3388305652118,14.221149413328517,2031.22957356771,2056.599808756513,20.0015851412752,0.07611217208073169,T04
20.75,99,2046.5630614177458,13.080978365764802,2031.4811354573594,2059.345299479169,20.477249032109093,0.07081856932936835,T04
21.25,98,2046.733477018487,15.200461399490553,2032.111416422532,2059.014056396487,21.001091368041912,0.06594180196365892,T04
21.75,62,2049.987734927972,8.558804482250927,2040.3393391927098,2059.431531603585,21.460184220911955,0.061595615546800465,T04
22.25,52,2046.3353473854318,14.59351981903199,2028.7837589518247,2061.507847970553,21.979945205728278,0.05743320879219886,T04
22.75,34,2042.0955104483874,28.074010158452456,2027.5334020996115,2061.1511593733185,22.486253774462007,0.053617698512395714,T04
23.25,21,2055.4236180817,8.021396749309284,2045.104904700972,2063.3187866211,23.00308496602193,0.05056020098665931,T04
23.75,16,2042.1907197709081,34.128968460729695,2032.314961751305,2059.0233113606796,23.432137127048033,0.04712830032357244,T04
24.25,8,2037.450992266339,46.799492895081094,1999.404386647544,2062.653095296225,23.989673963548093,0.044170087874576595,T04
24.75,3,2063.804899088543,8.552053554500839,2058.44051839193,2070.839838053386,24.41150956509428,0.04208422657150652,T04
1.25,226,-0.9310223076522154,0.45541931057987256,-1.1913055290778476,-0.5838268463810283,1.1294302874662892,,T05
1.75,636,-0.9455679754854986,0.45085080375359865,-1.354298979009705,-0.5807655799601759,1.5192883664799068,,T05
2.25,1187,-1.1695142521766921,0.5938525617802485,-1.645773955768552,-0.6665904883543647,2.0266431631887762,,T05
2.75,1966,-1.4652301117288165,1.0615794023943323,-2.645305023094018,-0.8611426096538013,2.52499531848298,,T05
3.25,2155,-1.7960000150335402,2.0561423499223435,-3.7659604436159153,-1.0157840309540422,2.99286699677746,,T05
3.75,1989,4.578784085198984,9.552390233452755,-4.048474595546722,18.619033252547183,3.5122227176524508,0.026843100803463308,T05
4.25,2550,35.220206989911425,20.618069862645335,8.454722461899118,62.68998016616395,3.9975903396253223,0.1418408857653891,T05
4.75,2834,85.92164037045664,27.853136152828796,50.96239737669628,122.4330541992188,4.504358977757996,0.24785520963286423,T05
5.25,2881,143.76834653281102,33.55672449325035,101.08204032634865,186.7650482177735,4.99827097407294,0.3071578992123509,T05
5.75,2921,215.3795498615665,39.289223140566925,165.69510434468603,266.026443481445,5.503144792468471,0.3502492804296071,T05
6.25,2862,298.85599888007715,46.53153435942244,239.64040797317247,359.8918292363484,5.994018717578895,0.37844105678434586,T05
6.75,2785,401.9504036972055,59.51508967816907,332.88302439371756,475.56867116292324,6.50391028288469,0.40405219604076065,T05
7.25,2670,513.4053265134019,69.00921925278601,432.3319494519916,597.9456992594403,6.992155842380078,0.4165073514662638,T05
7.75,2345,633.288966503669,87.80169504395008,545.4694106474377,730.624947509766,7.489023361733674,0.4206037446389977,T05
8.25,1100,746.8069318682783,94.50562509108451,657.4087436018323,847.1413243787046,7.894475697732295,0.411171321365941,T05
8.75,300,962.2928096803889,90.0905001524636,849.9811033121749,1080.8596940104171,8.534298320082831,0.44407814734603196,T05
9.25,558,1106.4376541720528,94.89584680765132,992.9351213582358,1221.9515220133476,9.023459663125603,0.4321933396116812,T05
